matrícula,status,nome,email,email do gestor,data de admissão,data de rescisão,cargo
0,ativo,Danielle Winters,daniellewinters@kpis.tech,,06/10/2021,,Diretor
1,inativo,Pamela Berry,pamelaberry@kpis.tech,sharonbarr@kpis.tech,01/08/2021,17/07/2022,Engenheiro
2,ativo,Richard Manning,richardmanning@kpis.tech,sharonbarr@kpis.tech,28/01/2020,,Engenheiro
3,ativo,Craig Hammond,craighammond@kpis.tech,sharonbarr@kpis.tech,08/10/2020,,Engenheiro
4,inativo,Mitchell Peters,mitchellpeters@kpis.tech,sharonbarr@kpis.tech,16/03/2020,14/02/2021,Engenheiro
5,ativo,Adam Sanders,adamsanders@kpis.tech,mitchellpeters@kpis.tech,25/04/2020,,Analista
6,ativo,John Jackson,johnjackson@kpis.tech,mitchellpeters@kpis.tech,28/09/2021,,Analista
7,ativo,Matthew Flores,matthewflores@kpis.tech,sharonbarr@kpis.tech,01/05/2022,,Analista
8,ativo,Matthew Beasley,matthewbeasley@kpis.tech,mitchellpeters@kpis.tech,09/04/2020,,Analista
9,inativo,Madison Taylor,madisontaylor@kpis.tech,sharonbarr@kpis.tech,26/03/2021,17/06/2021,Analista
10,ativo,Kyle Bond DDS,kylebonddds@kpis.tech,sharonbarr@kpis.tech,13/09/2021,,Analista
11,ativo,Jesse Anderson,jesseanderson@kpis.tech,mitchellpeters@kpis.tech,11/11/2021,,Analista
12,inativo,Sharon Santos,sharonsantos@kpis.tech,sharonbarr@kpis.tech,11/10/2022,10/08/2023,Estagiário
13,ativo,Tiffany Ortega,tiffanyortega@kpis.tech,mitchellpeters@kpis.tech,25/06/2021,,Analista
14,inativo,Janet Smith,janetsmith@kpis.tech,mitchellpeters@kpis.tech,12/06/2022,03/02/2023,Estagiário
15,ativo,Patrick Cox,patrickcox@kpis.tech,sharonbarr@kpis.tech,11/10/2021,,Engenheiro
16,ativo,Caitlin Johnston,caitlinjohnston@kpis.tech,sharonbarr@kpis.tech,17/12/2020,,Engenheiro
17,inativo,Bryan Case,bryancase@kpis.tech,sharonbarr@kpis.tech,06/10/2021,10/09/2022,Engenheiro
18,ativo,Sharon Barr,sharonbarr@kpis.tech,daniellewinters@kpis.tech,22/08/2022,,Supervisor
19,ativo,Robin Mcdaniel,robinmcdaniel@kpis.tech,daniellewinters@kpis.tech,07/12/2020,,Supervisor
20,ativo,Molly Edwards,mollyedwards@kpis.tech,sharonbarr@kpis.tech,22/01/2020,,Engenheiro
21,ativo,Amy Dennis,amydennis@kpis.tech,sharonbarr@kpis.tech,26/11/2021,,Engenheiro
22,ativo,Tony Nelson,tonynelson@kpis.tech,sharonbarr@kpis.tech,25/10/2020,,Engenheiro
23,ativo,Lawrence Robbins,lawrencerobbins@kpis.tech,sharonbarr@kpis.tech,29/08/2021,,Engenheiro
24,ativo,Paul Saunders,paulsaunders@kpis.tech,mitchellpeters@kpis.tech,18/08/2022,,Analista
25,ativo,Elizabeth Campbell,elizabethcampbell@kpis.tech,richardmay@kpis.tech,12/03/2021,,Analista
26,ativo,Richard May,richardmay@kpis.tech,daniellewinters@kpis.tech,03/10/2022,,Supervisor
27,ativo,Patrick Hall,patrickhall@kpis.tech,mollyedwards@kpis.tech,18/12/2020,,Analista
28,ativo,James Johnson,jamesjohnson@kpis.tech,sharonbarr@kpis.tech,14/04/2022,,Engenheiro
29,ativo,Ruth Fernandez,ruthfernandez@kpis.tech,mollyedwards@kpis.tech,11/10/2020,,Analista
30,inativo,Ariel Williams,arielwilliams@kpis.tech,robinmcdaniel@kpis.tech,10/10/2020,10/10/2021,Engenheiro
31,inativo,Valerie Johnson,valeriejohnson@kpis.tech,mollyedwards@kpis.tech,12/09/2021,14/05/2022,Analista
32,ativo,William Brewer,williambrewer@kpis.tech,robinmcdaniel@kpis.tech,21/08/2021,,Engenheiro
33,ativo,Kelly Thomas,kellythomas@kpis.tech,mitchellpeters@kpis.tech,10/11/2021,,Analista
34,inativo,Kevin Conner,kevinconner@kpis.tech,robinmcdaniel@kpis.tech,03/02/2022,15/03/2022,Engenheiro
35,ativo,Daniel Hill,danielhill@kpis.tech,robinmcdaniel@kpis.tech,03/05/2021,,Engenheiro
36,ativo,Barbara Perez,barbaraperez@kpis.tech,kathleenroberts@kpis.tech,31/10/2022,,Analista
37,inativo,Mr. David Ramirez,mr.davidramirez@kpis.tech,robinmcdaniel@kpis.tech,08/09/2022,22/03/2023,Engenheiro
38,ativo,Clinton Hayes,clintonhayes@kpis.tech,kathleenroberts@kpis.tech,10/10/2021,,Estagiário
39,inativo,Justin Jensen,justinjensen@kpis.tech,kathleenroberts@kpis.tech,28/01/2021,27/03/2021,Estagiário
40,inativo,Kathleen Roberts,kathleenroberts@kpis.tech,sharonbarr@kpis.tech,28/07/2021,17/02/2022,Designer
41,ativo,Alicia Smith,aliciasmith@kpis.tech,sharonbarr@kpis.tech,08/12/2021,,Analista
42,ativo,Craig Sutton III,craigsuttoniii@kpis.tech,sharonbarr@kpis.tech,16/11/2020,,Designer
43,inativo,Michelle Flynn,michelleflynn@kpis.tech,kathleenroberts@kpis.tech,25/08/2021,05/03/2022,Designer
44,ativo,Brandon Miller,brandonmiller@kpis.tech,loricampbell@kpis.tech,17/09/2021,,Estagiário
45,ativo,Michelle Miller,michellemiller@kpis.tech,loricampbell@kpis.tech,17/07/2021,,Designer
46,inativo,Melinda Terry,melindaterry@kpis.tech,loricampbell@kpis.tech,20/06/2021,28/07/2021,Designer
47,inativo,Thomas Lopez,thomaslopez@kpis.tech,loricampbell@kpis.tech,16/03/2021,02/09/2021,Estagiário
48,ativo,Mackenzie Young,mackenzieyoung@kpis.tech,richardmay@kpis.tech,21/04/2020,,Designer
49,ativo,Natasha Taylor,natashataylor@kpis.tech,loricampbell@kpis.tech,13/03/2020,,Designer
50,ativo,William Frost,williamfrost@kpis.tech,loricampbell@kpis.tech,25/08/2022,,Analista
51,inativo,Alexandra Thomas,alexandrathomas@kpis.tech,loricampbell@kpis.tech,13/09/2021,18/12/2021,Analista
52,ativo,Peter Gonzalez,petergonzalez@kpis.tech,loricampbell@kpis.tech,11/07/2022,,Analista
53,ativo,Andrew Williams,andrewwilliams@kpis.tech,loricampbell@kpis.tech,13/03/2021,,Analista
